paper_id,title,domain,source_url,pdf_filename,language,license_status,text_extractable,page_count,notes
paper-001,"Operational Non-identifiability of Single-epoch Low-rank RFI Mitigation: Controlled Failure-mode Analysis and HERA Evidence","Radio Astronomy / Data Analysis","https://arxiv.org/abs/2601.00046v2","paper-001.pdf","en","arXiv non-exclusive distribution","yes",13,"Title and author verified against arXiv; raw PDF remains local-only; image understanding excluded from MVP"
paper-002,"Let's Scale Step by Step: Compute-Efficient Hyperparameter Transfer for Large-Scale Mixture-of-Experts","Machine Learning / Large Language Models / Mixture-of-Experts","https://arxiv.org/abs/2608.20061v1","paper-002.pdf","en","CC BY 4.0","yes",20,"Text extraction verified; PDF metadata includes a CC BY 4.0 license"
paper-003,"Transformer Models for Text Summarization: A Comparative Study of BART, BERT, and RoBERTa","NLP / Text Summarization","https://arxiv.org/abs/2608.19200v1","paper-003.pdf","en","CC BY 4.0","yes",10,"Title and authors verified against arXiv; PDF structure warnings observed during extraction"
paper-004,"Efficient INT8 Inference of Small NLP Models on Server CPUs with PyTorch Native Stack","NLP / Model Inference","https://arxiv.org/abs/2608.18182v1","paper-004.pdf","en","CC BY 4.0","yes",13,"Text extraction verified"
paper-005,"Memory-Bounded Continuation of Greedy Sampling for Continual Anomaly Detection","Machine Learning / Anomaly Detection","https://arxiv.org/abs/2608.15277v1","paper-005.pdf","en","CC BY 4.0","yes",26,"Text extraction verified"
paper-006,"Earth Observation Foundation Models for Terrestrial Ecohydrology: From Representation Learning to Process Inference","Earth Observation / Machine Learning","https://arxiv.org/abs/2608.15282v1","paper-006.pdf","en","CC BY 4.0","yes",31,"Text extraction verified"
paper-007,"Boundaries of logarithmic Voronoi cells can be transcendental","Computational Geometry / Mathematics","https://arxiv.org/abs/2608.18434v1","paper-007.pdf","en","arXiv non-exclusive distribution","yes",11,"Title and author verified against arXiv; raw PDF remains local-only"
paper-008,"GOAG: Generative and Object-Agnostic Grasp Planner for Dexterous Robotic Manipulation","Robotics / Computer Vision","https://arxiv.org/abs/2608.19759v1","paper-008.pdf","en","CC BY 4.0","yes",8,"Text extraction verified"
paper-009,"Microlensify: a Transformer Based Machine Learning Classifier for Microlensing Events Trained on TESS Light Curves","Astronomy / Machine Learning","https://arxiv.org/abs/2608.19419v1","paper-009.pdf","en","CC BY 4.0","yes",26,"Text extraction verified"
paper-010,"Multi-Source Wasserstein Distributionally Robust Graph Learning","Machine Learning / Graph Learning","https://arxiv.org/abs/2608.19914v1","paper-010.pdf","en","arXiv non-exclusive distribution","yes",30,"Local v1 title verified against the arXiv submission history; raw PDF remains local-only"
paper-011,"Conformal Uncertainty Quantification Guarantees for Neural Operators","Scientific Machine Learning / Uncertainty Quantification","https://arxiv.org/abs/2608.28515v1","paper-011.pdf","en","arXiv non-exclusive distribution","yes",19,"Expansion corpus; title and authors verified against arXiv; raw PDF remains local-only"
