system,scope,questions,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,candidate_stage
bm25,all,40,0.325,0.725,0.825,0.9,0.5452380952380953,sparse retrieval
bm25,en,20,0.35,0.8,0.95,1.0,0.6125,sparse retrieval
bm25,ko,20,0.3,0.65,0.7,0.8,0.4779761904761905,sparse retrieval
dense,all,40,0.3,0.575,0.775,0.975,0.48860119047619044,multilingual dense retrieval
dense,en,20,0.35,0.6,0.8,1.0,0.5277777777777778,multilingual dense retrieval
dense,ko,20,0.25,0.55,0.75,0.95,0.4494246031746032,multilingual dense retrieval
hybrid_rrf,all,40,0.35,0.775,0.925,0.975,0.5691666666666666,equal-weight RRF
hybrid_rrf,en,20,0.4,0.75,1.0,1.0,0.5991666666666666,equal-weight RRF
hybrid_rrf,ko,20,0.3,0.8,0.85,0.95,0.5391666666666667,equal-weight RRF
hybrid_reranker,all,40,0.375,0.8,0.975,0.975,0.6233333333333333,Hybrid Top-20 + Cross-Encoder
hybrid_reranker,en,20,0.45,0.9,1.0,1.0,0.6891666666666667,Hybrid Top-20 + Cross-Encoder
hybrid_reranker,ko,20,0.3,0.7,0.95,0.95,0.5575,Hybrid Top-20 + Cross-Encoder
